image_id,filename,codec,quality,ssim,psnr,msssim,msssim_db,bytes,bpp,perceptual similarity
0,kodim16.png,guetzli,99,0.9894303595414048,43.82321489001018,0.9985040836331323,28.25092686166174,161327,4.923309326171875,0.005895146634429693
0,kodim16.png,guetzli,97,0.9797324213872795,40.84936602403986,0.997173690955577,25.487803517056676,123782,3.77752685546875,0.011578499339520931
0,kodim16.png,guetzli,95,0.9686624834266789,38.86902704906517,0.9954900677241456,23.458299797281516,91267,2.785247802734375,0.01971551403403282
0,kodim16.png,guetzli,93,0.9589120653527762,37.622711445488726,0.9936775423665487,21.991140721646516,64842,1.97882080078125,0.02943030744791031
0,kodim16.png,guetzli,91,0.9488622408844961,36.60331083568132,0.9917864992570898,20.854716992409333,54656,1.66796875,0.03860637545585632
0,kodim16.png,guetzli,89,0.939970190525838,35.86004687379614,0.9899274017400018,19.968584872985467,47317,1.444000244140625,0.04640232026576996
0,kodim16.png,guetzli,87,0.9306588987917088,35.17063206776866,0.9880174206017365,19.21449684630063,41836,1.2767333984375,0.05372118949890137
0,kodim16.png,guetzli,85,0.9229893656822356,34.699350558521445,0.9863279029716284,18.6416486816789,38970,1.18927001953125,0.059210240840911865
1,kodim07.png,guetzli,99,0.9915278706923004,43.38802829084394,0.999037202285512,30.16464949334285,164353,5.015655517578125,0.0018470555078238249
1,kodim07.png,guetzli,97,0.9844041550491144,40.61213533375088,0.9981339546974464,27.290778169613127,119420,3.6444091796875,0.004240707028657198
1,kodim07.png,guetzli,95,0.976745885482983,38.83533335761677,0.9970757307091436,25.339826364515652,83627,2.552093505859375,0.008184745907783508
1,kodim07.png,guetzli,93,0.9706897066040368,37.696910766956435,0.9960995784761174,24.088884556392,60379,1.842620849609375,0.013431381434202194
1,kodim07.png,guetzli,91,0.9650959256914496,36.81995304411529,0.9952069413333321,23.193872552447626,52699,1.608245849609375,0.018518321216106415
