image_id,filename,model_dir,codec,ssim,psnr,msssim,msssim_db,entropy,bytes,bpp,layers,quantization,entropy_reg,codebook,latent,latent_shape,n_features
0,md020a3e0aef.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9129562537828022,36.77159342719294,0.9803370713947065,17.063517976739256,1.7352386806282325,11486,0.35052490234375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
1,md02d5ad379e.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.7830456472850997,34.356555069422676,0.9586342123312189,13.833587016170776,1.5550696133698758,9087,0.277313232421875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
2,md03780c491b.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8120631218972668,32.75985171769103,0.9623534146935183,14.242744098963893,2.154223650765175,15182,0.46331787109375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
3,md0d3ca2e738.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9438288061065623,36.87118717701976,0.9855097872076097,18.389252367591695,1.492694999815806,10913,0.333038330078125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
4,md145099d889.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8934457915572346,27.652717098480938,0.970677486112533,15.327987993564957,3.2907322911841277,25162,0.76788330078125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
5,md1fda49419d.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9593404169960947,39.96589542015806,0.9894034481021428,19.74835430522777,1.1341072658559774,6506,0.19854736328125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
6,md20b4f6dd81.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8767269981260334,35.66136564388077,0.971404774773642,15.437064784430907,1.6237932855759447,11430,0.34881591796875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
7,md3d2bc51ae0.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9584320597641374,33.59079265357585,0.992883852428586,21.477550542943735,2.5808367794713956,18888,0.576416015625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
8,md490041966c.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9611371240808175,35.514941376367,0.9918908487763738,20.910246005590423,2.541257252246548,18370,0.56060791015625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
9,md4de1a9ae0f.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9325451131963708,38.37341210043803,0.9814672633958686,17.32060446610904,1.7664630246953892,10877,0.331939697265625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
10,md4f8f9597b4.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9350902520736258,37.128501150182764,0.987826440042543,19.14582400915706,1.5956077182952162,10619,0.324066162109375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
11,md575e5a225f.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9227902696691702,38.50871176822253,0.9789136718031377,16.759990382155866,1.3228279098426354,7786,0.23760986328125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
12,md69742bf9b2.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9411928407607899,38.85895414553269,0.984828162322248,18.189618124254633,1.146829965338119,7294,0.22259521484375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
13,md724a5fef27.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9419865579512989,37.82488694879933,0.9880785313424277,19.236702386738603,1.6620423930659305,11048,0.337158203125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
14,md7acca9e5d4.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9158144252318222,34.52341096952289,0.9803604405426496,17.068682582694148,2.392997999368557,17826,0.54400634765625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
15,md84e1b14970.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8993158651942902,35.56922230329453,0.9790647299423245,16.791214324894074,1.9925505468135363,14479,0.441864013671875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
16,md8ad8c1a4f0.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9014209628226167,33.77266756911855,0.9826175191503433,17.598882404059175,2.4967458053603937,17944,0.547607421875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
17,md8b4d790353.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9516169432035125,41.60260112384379,0.9847142095830922,18.157120993110624,0.6317614540642993,2427,0.074066162109375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
18,md97faaba752.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9233594103827912,38.700731956960325,0.9778472097461589,16.54571564450957,1.4023735355938565,8588,0.2620849609375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
19,md9a54894332.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9430083387003801,39.92081160907909,0.9856157640681369,18.421132022052614,1.4111046249071288,7661,0.233795166015625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
20,mda35b1dc888.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8761739395356991,37.523148037372735,0.9777168122771885,16.520226810297867,1.4335612944725777,6242,0.19049072265625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
21,mda362944917.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9495491298819103,40.08988627871854,0.9865853947379892,18.72422102347449,1.3009357405108135,7663,0.233856201171875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
22,mda6bd069cb0.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9626148336420061,39.66338739336642,0.9895787991936533,19.820822355927966,1.4765464391041914,9069,0.276763916015625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
23,mdab5dc4b068.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9359855922763396,35.93468844231914,0.9860657161593598,18.55915347155241,2.2056866933858683,15893,0.485015869140625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
24,mdac31e475a8.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8459403154463362,36.47926271715007,0.9619273857174299,14.19387301028737,1.2392471690985292,6379,0.194671630859375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
25,mdb09a88eb2a.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9295045893640395,35.95147649808169,0.9875332224990948,19.042457914642977,1.8250109460654262,12532,0.3824462890625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
26,mdb6a86e221a.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9488687320599887,39.22299481477107,0.9873371103869282,18.974671790094277,1.2124412654813934,8111,0.247528076171875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
27,mdb9a0e27072.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9314406668487435,33.2339878269517,0.9852178489585635,18.302623644896766,2.5014162438079883,18450,0.56304931640625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
28,mdd3ff22ee28.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8356979297860815,35.58140657228768,0.9683117890845121,14.991022799471205,1.6475692297399118,8400,0.25634765625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
29,mdd67c45902a.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9716529952599657,39.99675974635568,0.9911329698352812,20.522218141078753,1.286263435836032,8212,0.2506103515625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
30,mdd85dbada16.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8803296636461523,35.32303419007212,0.974359733583457,15.910774665700135,1.812583398657237,12520,0.382080078125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
31,mdeaca710445.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8076247219571194,33.64705442777557,0.9587657913854738,13.84742336195854,1.910486655123687,12180,0.3717041015625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
