image_id,filename,model_dir,codec,ssim,psnr,msssim,msssim_db,entropy,bytes,bpp,layers,quantization,entropy_reg,codebook,latent,latent_shape,n_features
17,md8b4d790353.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9527402502791399,41.854298821055515,0.985945995062385,18.521998982174303,0.8385666206756393,3555,0.108489990234375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
18,md97faaba752.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9328791917419045,39.16535531255397,0.9809143705237781,17.192935117148092,1.7342015425282638,11145,0.340118408203125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
19,md9a54894332.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9451643056587793,40.13950601795167,0.9865559420216332,18.71469623275569,1.678303391028249,9111,0.278045654296875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
20,mda35b1dc888.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8842129506383648,37.9573737007528,0.9791541995909279,16.809814247607772,1.7627558272941806,7624,0.232666015625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
21,mda362944917.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9516089223956289,40.214410655546864,0.9871204695597011,18.900999701209617,1.4839675160521608,9052,0.2762451171875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
22,mda6bd069cb0.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9652219843621469,39.87071064423652,0.9898639804683161,19.94132561256585,1.7810790186606895,11016,0.336181640625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
23,mdab5dc4b068.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9427597077149183,36.29742194294748,0.9871439999392542,18.908941341926287,2.468932921447916,18072,0.551513671875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
24,mdac31e475a8.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8509259343270835,36.655418581350304,0.964756880005757,14.529256514431863,1.5774131156798288,8766,0.26751708984375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
25,mdb09a88eb2a.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9386037103789632,36.91581808682488,0.9895708681401605,19.817518415421226,2.112320154176398,14964,0.4566650390625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
26,mdb6a86e221a.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9508189976594017,39.54523125785179,0.9875719607274432,19.055973830459866,1.488454484025701,9863,0.300994873046875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
27,mdb9a0e27072.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9417433362655346,33.887704507947795,0.9870015853810297,18.861096141716075,2.7385353285004013,20733,0.632720947265625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
28,mdd3ff22ee28.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.845976558545012,35.79142153838528,0.971024781016372,15.37973273120298,1.9591307631903931,11064,0.337646484375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
