image_id,filename,codec,quality,ssim,psnr,msssim,msssim_db,bytes,bpp
0,alberto-montalesi-176097.png,bpg,10,0.9923596113630634,48.34253399277709,0.999269879231921,31.366052979996645,213959,6.529510498046875
0,alberto-montalesi-176097.png,bpg,11,0.9909161306085831,47.59967346047648,0.9991272478497195,30.591090725008364,190733,5.820709228515625
0,alberto-montalesi-176097.png,bpg,12,0.9893632481297298,46.91075633439454,0.9989692399804492,29.86842434926327,168954,5.15606689453125
0,alberto-montalesi-176097.png,bpg,13,0.9875525942644184,46.217226180093284,0.9987677790106043,29.093113977978547,148300,4.5257568359375
0,alberto-montalesi-176097.png,bpg,14,0.985571719711727,45.558780076864025,0.9985477836996736,28.379686928356094,129468,3.9510498046875
0,alberto-montalesi-176097.png,bpg,15,0.9832919686653795,44.92699495306,0.9982773119394015,27.637933562290474,113717,3.470367431640625
0,alberto-montalesi-176097.png,bpg,16,0.980756628563857,44.27557009244883,0.9979663389153949,26.917214217917827,98849,3.016632080078125
0,alberto-montalesi-176097.png,bpg,17,0.9781751361149521,43.669573590516265,0.9976193557114996,26.233054912319048,85905,2.621612548828125
0,alberto-montalesi-176097.png,bpg,18,0.9752146248897565,43.07645807666574,0.9971956221894683,25.52163477875146,75085,2.291412353515625
0,alberto-montalesi-176097.png,bpg,19,0.9718914355171545,42.48200310188107,0.996684386017749,24.794360375719812,65560,2.000732421875
0,alberto-montalesi-176097.png,bpg,20,0.9688242610207666,41.96968844917961,0.9961171781100325,24.108525306433407,57669,1.759918212890625
0,alberto-montalesi-176097.png,bpg,21,0.9659904465054532,41.496988709650786,0.9955523157467835,23.51866051451414,51365,1.567535400390625
0,alberto-montalesi-176097.png,bpg,22,0.9630687966237755,41.02819340399903,0.9949543599444998,22.970837342952045,45584,1.39111328125
0,alberto-montalesi-176097.png,bpg,23,0.9598339798659561,40.547611169898545,0.9942337011429841,22.391028526537838,40445,1.234283447265625
0,alberto-montalesi-176097.png,bpg,24,0.95665935508978,40.076420474395235,0.993444868038242,21.83418561077408,36151,1.103240966796875
0,alberto-montalesi-176097.png,bpg,25,0.9530844644288744,39.56634305986168,0.9925328025308624,21.26842363654623,32279,0.985076904296875
0,alberto-montalesi-176097.png,bpg,26,0.9491659390512464,39.06598996226411,0.9915117362369,20.711811336921233,28684,0.8753662109375
0,alberto-montalesi-176097.png,bpg,27,0.9450972282098178,38.561470136874476,0.9903632996369965,20.16071644462957,25657,0.782989501953125
0,alberto-montalesi-176097.png,bpg,28,0.9402184023076678,38.040084743259214,0.9889471315249589,19.565249978869538,22831,0.696746826171875
0,alberto-montalesi-176097.png,bpg,29,0.9349360105651562,37.50548468881086,0.987407630627969,18.998925456360535,20266,0.61846923828125
0,alberto-montalesi-176097.png,bpg,30,0.929408944559019,36.998857666274716,0.9855816076030512,18.41083159315258,18051,0.550872802734375
0,alberto-montalesi-176097.png,bpg,31,0.9238548050138663,36.47049293501132,0.9837839822666234,17.90055789382674,16011,0.488616943359375
0,alberto-montalesi-176097.png,bpg,32,0.9173890593259516,35.93368838062226,0.9816355971784401,17.360231895902917,14201,0.433380126953125
0,alberto-montalesi-176097.png,bpg,33,0.9097439597677718,35.387475284016,0.9786141731172918,16.698739530922413,12587,0.384124755859375
0,alberto-montalesi-176097.png,bpg,34,0.9023034171132127,34.83768522554676,0.9760709894629044,16.210752590616025,11140,0.3399658203125
0,alberto-montalesi-176097.png,bpg,35,0.8934253559258029,34.24182260090928,0.9726177344207455,15.62530621656272,9745,0.297393798828125
0,alberto-montalesi-176097.png,bpg,36,0.8858610639602796,33.76514913123945,0.9693760843233244,15.139392797367446,8654,0.26409912109375
0,alberto-montalesi-176097.png,bpg,37,0.8764933099157721,33.19101400569097,0.9647764527013853,14.531669091683641,7580,0.2313232421875
0,alberto-montalesi-176097.png,bpg,38,0.8673103420299192,32.686610676900195,0.9601476796691302,13.995463875035925,6732,0.2054443359375
0,alberto-montalesi-176097.png,bpg,39,0.8568795315373054,32.13968534681496,0.9547324147812911,13.442126721528851,5876,0.1793212890625
1,alejandro-escamilla-6.png,bpg,10,0.9959812142807193,49.80831214485754,0.9995774570605636,33.741291508261604,128323,3.916107177734375
1,alejandro-escamilla-6.png,bpg,11,0.9954004202717214,49.18540863973419,0.9994946824849608,32.96435648223157,114393,3.490997314453125
1,alejandro-escamilla-6.png,bpg,12,0.994872952365351,48.64939641871935,0.9994230266302924,32.38844231308607,102837,3.138336181640625
1,alejandro-escamilla-6.png,bpg,13,0.9942702249320435,48.085640458332655,0.9993412840008159,31.813017880948657,92648,2.827392578125
1,alejandro-escamilla-6.png,bpg,14,0.9936196779834594,47.55658219635585,0.9992469788215584,31.231928092561883,83590,2.55096435546875
1,alejandro-escamilla-6.png,bpg,15,0.9929517418781408,47.027888299395215,0.9991505963121392,30.70885857762438,75957,2.318023681640625
1,alejandro-escamilla-6.png,bpg,16,0.9920912759940341,46.423775916443475,0.9990173919031922,30.07619661548158,68737,2.097686767578125
1,alejandro-escamilla-6.png,bpg,17,0.9911446271369808,45.82453590251678,0.998897812283444,29.57744433322949,62218,1.89874267578125
1,alejandro-escamilla-6.png,bpg,18,0.990013435828423,45.20482575912436,0.9987128767541339,28.903798661205574,55958,1.70770263671875
1,alejandro-escamilla-6.png,bpg,19,0.9886141856813756,44.43334994588697,0.9984987042808933,28.23533753774925,50419,1.538665771484375
1,alejandro-escamilla-6.png,bpg,20,0.9871952614456224,43.83809141896479,0.9982907078701984,27.67183707016697,45417,1.386016845703125
